Densidad	Genotipados	des	Correlación	Enfoque
0	0	0.061	0.515	Bayesiano
1.000	148	0.051	0.483	Bayesiano
1.000	298	0.028	0.447	Bayesiano
1.000	451	0.002	0.493	Bayesiano
10.000	148	0.054	0.49	Bayesiano
10.000	298	0.032	0.52	Bayesiano
10.000	451	0.002	0.586	Bayesiano
100.000	148	0.056	0.496	Bayesiano
100.000	298	0.031	0.536	Bayesiano
100.000	451	0.002	0.581	Bayesiano
0	0	0.055	0.513	Penalizado
1.000	148	0.062	0.464	Penalizado
1.000	298	0.03	0.438	Penalizado
1.000	451	0	0.495	Penalizado
10.000	148	0.063	0.479	Penalizado
10.000	298	0.035	0.515	Penalizado
10.000	451	0	0.585	Penalizado
100.000	148	0.064	0.482	Penalizado
100.000	298	0.035	0.529	Penalizado
100.000	451	0	0.58	Penalizado
