Genotipados	Correlación	Densidad	Replica
0	0.5571666549573685	0	Ped_1.1
148	0.5086765468371397	1.000	Ped_1.1
298	0.4188498587016407	1.000	Ped_1.1
451	0.4950013454742975	1.000	Ped_1.1
0	0.5420712712781612	0	Ped_1.1
148	0.5303033078039001	10.000	Ped_1.1
298	0.5328723958007184	10.000	Ped_1.1
451	0.584620333583854	10.000	Ped_1.1
0	0.5408431037543993	0	Ped_1.1
148	0.5342470874072672	100.000	Ped_1.1
298	0.5233229333548955	100.000	Ped_1.1
451	0.57977800883353	100.000	Ped_1.1
0	0.4745490040399749	0	Ped_1.2
148	0.4651271979784741	1.000	Ped_1.2
298	0.4061642493128305	1.000	Ped_1.2
451	0.4950013454742975	1.000	Ped_1.2
0	0.456608244805931	0	Ped_1.2
148	0.47004322514951397	10.000	Ped_1.2
298	0.4817827753067123	10.000	Ped_1.2
451	0.584620333583854	10.000	Ped_1.2
0	0.4556383013697617	0	Ped_1.2
148	0.4703813850205172	100.000	Ped_1.2
298	0.49490919474859274	100.000	Ped_1.2
451	0.57977800883353	100.000	Ped_1.2
0	0.5255243714957676	0	Ped_1.3
148	0.4928489127542854	1.000	Ped_1.3
298	0.4672711106432709	1.000	Ped_1.3
451	0.4950013454742975	1.000	Ped_1.3
0	0.48727600716624947	0	Ped_1.3
148	0.49898805805663393	10.000	Ped_1.3
298	0.548164734206217	10.000	Ped_1.3
451	0.584620333583854	10.000	Ped_1.3
0	0.4850899040760635	0	Ped_1.3
148	0.49942790715459867	100.000	Ped_1.3
298	0.5595004722648227	100.000	Ped_1.3
451	0.57977800883353	100.000	Ped_1.3
0	0.49498721457246575	0	Ped_1.4
148	0.501198020966128	1.000	Ped_1.4
298	0.49455797552799285	1.000	Ped_1.4
451	0.4950013454742975	1.000	Ped_1.4
0	0.49618167397587704	0	Ped_1.4
148	0.5035766400318634	10.000	Ped_1.4
298	0.576126858115135	10.000	Ped_1.4
451	0.584620333583854	10.000	Ped_1.4
0	0.49313583741551265	0	Ped_1.4
148	0.5092400432728772	100.000	Ped_1.4
298	0.5925069463045118	100.000	Ped_1.4
451	0.57977800883353	100.000	Ped_1.4
0	0.5542045603582588	0	Ped_1.5
148	0.4649098861703154	1.000	Ped_1.5
298	0.4136058967968838	1.000	Ped_1.5
451	0.4950013454742975	1.000	Ped_1.5
0	0.5680449644660998	0	Ped_1.5
148	0.47906042282264977	10.000	Ped_1.5
298	0.47266945656463355	10.000	Ped_1.5
451	0.584620333583854	10.000	Ped_1.5
0	0.5672330441778747	0	Ped_1.5
148	0.47915765389876347	100.000	Ped_1.5
298	0.49248423086005666	100.000	Ped_1.5
451	0.57977800883353	100.000	Ped_1.5
0	0.4975792674636242	0	Ped_1.6
148	0.4373450120462794	1.000	Ped_1.6
298	0.4265546712839838	1.000	Ped_1.6
451	0.4950013454742975	1.000	Ped_1.6
0	0.47382801852282597	0	Ped_1.6
148	0.453783462081079	10.000	Ped_1.6
298	0.49479161325552673	10.000	Ped_1.6
451	0.584620333583854	10.000	Ped_1.6
0	0.4738530340192288	0	Ped_1.6
148	0.45601666450243034	100.000	Ped_1.6
298	0.5091492176084896	100.000	Ped_1.6
451	0.57977800883353	100.000	Ped_1.6
0	0.4530271601447223	0	Ped_1.7
148	0.30227965841273075	1.000	Ped_1.7
298	0.4155437431050525	1.000	Ped_1.7
451	0.4950013454742975	1.000	Ped_1.7
0	0.39795297064881585	0	Ped_1.7
148	0.31807758579738554	10.000	Ped_1.7
298	0.4857626374734234	10.000	Ped_1.7
451	0.584620333583854	10.000	Ped_1.7
0	0.3921842361413459	0	Ped_1.7
148	0.31917395037388246	100.000	Ped_1.7
298	0.49693939661208997	100.000	Ped_1.7
451	0.57977800883353	100.000	Ped_1.7
0	0.5950250800022393	0	Ped_1.8
148	0.48269202058375055	1.000	Ped_1.8
298	0.4546361929713678	1.000	Ped_1.8
451	0.4950013454742975	1.000	Ped_1.8
0	0.6017536446465639	0	Ped_1.8
148	0.5081330528435608	10.000	Ped_1.8
298	0.5460758569826617	10.000	Ped_1.8
451	0.584620333583854	10.000	Ped_1.8
0	0.6006719973722637	0	Ped_1.8
148	0.5182951365841639	100.000	Ped_1.8
298	0.5656669689036934	100.000	Ped_1.8
451	0.57977800883353	100.000	Ped_1.8
0	0.5671341373788212	0	Ped_1.9
148	0.5246403012572683	1.000	Ped_1.9
298	0.4631309269831561	1.000	Ped_1.9
451	0.4950013454742975	1.000	Ped_1.9
0	0.564807069095015	0	Ped_1.9
148	0.5502198554305395	10.000	Ped_1.9
298	0.5224214208118746	10.000	Ped_1.9
451	0.584620333583854	10.000	Ped_1.9
0	0.5605850916573775	0	Ped_1.9
148	0.5507432147725716	100.000	Ped_1.9
298	0.5427501717728237	100.000	Ped_1.9
451	0.57977800883353	100.000	Ped_1.9
0	0.500672712779923	0	Ped_1.10
148	0.4580283158754116	1.000	Ped_1.10
298	0.41841545900512106	1.000	Ped_1.10
451	0.4950013454742975	1.000	Ped_1.10
0	0.5009928446195536	0	Ped_1.10
148	0.4827676541981147	10.000	Ped_1.10
298	0.49217129286465716	10.000	Ped_1.10
451	0.584620333583854	10.000	Ped_1.10
0	0.5023448115691974	0	Ped_1.10
148	0.48618383351483463	100.000	Ped_1.10
298	0.50859689162311	100.000	Ped_1.10
451	0.57977800883353	100.000	Ped_1.10
