Densidad	Genotipados	Desvio	Media	Pedigrí
0	Ninguno	0.053	0.582	Pedigrí_3
1.000	F0-F1-F2-F3	0.039	0.646	Pedigrí_3
1.000	F1-F2	0.053	0.607	Pedigrí_3
1.000	F2	0.053	0.605	Pedigrí_3
10.000	F0-F1-F2-F3	0.04	0.652	Pedigrí_3
10.000	F1-F2	0.052	0.607	Pedigrí_3
10.000	F2	0.052	0.607	Pedigrí_3
100.000	F0-F1-F2-F3	0.04	0.652	Pedigrí_3
100.000	F1-F2	0.052	0.607	Pedigrí_3
100.000	F2	0.052	0.607	Pedigrí_3
0	Ninguno	0.095	0.574	Pedigrí_2
1.000	F0-F1-F2-F3	0.08	0.632	Pedigrí_2
1.000	F1-F2	0.092	0.59	Pedigrí_2
1.000	F2	0.092	0.59	Pedigrí_2
10.000	F0-F1-F2-F3	0.079	0.635	Pedigrí_2
10.000	F1-F2	0.094	0.591	Pedigrí_2
10.000	F2	0.093	0.59	Pedigrí_2
100.000	F0-F1-F2-F3	0.079	0.635	Pedigrí_2
100.000	F1-F2	0.094	0.591	Pedigrí_2
100.000	F2	0.093	0.59	Pedigrí_2
0	Ninguno	0.092	0.577	Pedigrí_1
1.000	F0-F1-F2-F3	0.06	0.627	Pedigrí_1
1.000	F1-F2	0.093	0.583	Pedigrí_1
1.000	F2	0.098	0.582	Pedigrí_1
10.000	F0-F1-F2-F3	0.061	0.629	Pedigrí_1
10.000	F1-F2	0.093	0.583	Pedigrí_1
10.000	F2	0.097	0.581	Pedigrí_1
100.000	F0-F1-F2-F3	0.061	0.629	Pedigrí_1
100.000	F1-F2	0.093	0.583	Pedigrí_1
100.000	F2	0.097	0.581	Pedigrí_1
0	Ninguno	0.047	0.556	Pedigrí_4
1.000	F0-F1-F2-F3	0.036	0.624	Pedigrí_4
1.000	F1-F2	0.049	0.586	Pedigrí_4
1.000	F2	0.047	0.586	Pedigrí_4
10.000	F0-F1-F2-F3	0.034	0.628	Pedigrí_4
10.000	F1-F2	0.05	0.586	Pedigrí_4
10.000	F2	0.05	0.585	Pedigrí_4
100.000	F0-F1-F2-F3	0.034	0.628	Pedigrí_4
100.000	F1-F2	0.05	0.586	Pedigrí_4
100.000	F2	0.05	0.585	Pedigrí_4
