id	sire	dam
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	6	3
22	9	9
23	15	8
24	16	16
25	3	2
26	15	4
27	11	11
28	1	7
29	19	19
30	16	19
31	15	12
32	17	10
33	7	18
34	10	6
35	9	15
36	16	16
37	11	11
38	16	12
39	20	19
40	16	5
41	4	2
42	19	16
43	3	16
44	7	19
45	16	9
46	16	16
47	9	6
48	11	4
49	11	12
50	1	6
51	12	4
52	19	20
53	16	16
54	17	18
55	18	5
56	16	16
57	12	18
58	17	17
59	16	4
60	1	6
61	5	19
62	9	9
63	16	16
64	2	15
65	15	4
66	20	1
67	16	19
68	8	3
69	8	13
70	15	4
71	16	10
72	4	11
73	2	6
74	10	10
75	19	1
76	8	1
77	19	19
78	3	15
79	1	15
80	15	16
81	51	26
82	53	24
83	48	54
84	53	22
85	55	34
86	56	36
87	53	36
88	24	53
89	60	58
90	27	27
91	63	58
92	76	22
93	59	46
94	45	62
95	59	36
96	35	45
97	37	27
98	29	29
99	63	37
100	78	50
101	58	67
102	50	59
103	38	50
104	27	77
105	37	47
106	68	39
107	66	71
108	65	58
109	25	63
110	65	76
111	65	35
112	53	24
113	21	53
114	24	56
115	78	48
116	25	47
117	65	32
118	33	51
119	69	40
120	70	67
121	64	78
122	53	36
123	63	30
124	43	68
125	24	53
126	36	46
127	24	78
128	22	62
129	25	56
130	37	22
131	27	27
132	30	71
133	59	49
134	33	59
135	63	44
136	27	77
137	27	77
138	49	27
139	62	46
140	24	28
141	25	72
142	62	35
143	48	37
144	35	62
145	21	78
146	71	59
147	27	27
148	24	77
149	25	74
150	64	46
151	72	37
152	27	37
153	24	53
154	56	45
155	68	27
156	77	75
157	65	26
158	24	36
159	47	79
160	77	30
161	46	66
162	59	64
163	21	53
164	25	55
165	37	37
166	24	53
167	76	51
168	53	27
169	53	24
170	53	28
171	30	50
172	77	53
173	23	51
174	22	79
175	60	61
176	41	59
177	53	53
178	73	76
179	74	64
180	34	49
181	147	90
182	97	152
183	115	125
184	114	177
185	125	88
186	173	102
187	125	147
188	84	130
189	119	142
190	134	165
191	161	113
192	114	174
193	87	158
194	151	151
195	87	98
196	96	100
197	155	107
198	143	165
199	94	88
200	160	180
201	126	151
202	117	158
203	156	172
204	112	88
205	132	94
206	103	166
207	114	131
208	172	106
209	97	131
210	82	139
211	165	102
212	137	180
213	137	90
214	142	168
215	104	117
216	129	168
217	114	82
218	140	146
219	125	131
220	112	139
221	88	168
222	158	154
223	147	169
224	112	114
225	177	140
226	137	178
227	138	97
228	134	138
229	101	143
230	120	160
231	102	100
232	163	153
233	174	103
234	173	108
235	166	95
236	126	87
237	85	146
238	126	97
239	123	125
240	94	86
241	158	99
242	86	177
243	87	125
244	116	153
245	94	94
246	169	177
247	86	146
