varU	varE	Ind_gen	Densidad	h2	Pedigrí	Enfoque
0.44328005487	0.155682912372	0	1.000	0.74	Pedigrí 1.1	Bayesiano
0.46694712848	0.147333157243	148	1.000	0.76	Pedigrí 1.1	Bayesiano
0.4614863438	0.141160583409	298	1.000	0.77	Pedigrí 1.1	Bayesiano
0.35165629572	0.22723470032	451	1.000	0.61	Pedigrí 1.1	Bayesiano
0.44209574273	0.157322183503	0	10.000	0.74	Pedigrí 1.1	Bayesiano
0.4472959575	0.154999075354	148	10.000	0.74	Pedigrí 1.1	Bayesiano
0.42857331369	0.139239916388	298	10.000	0.75	Pedigrí 1.1	Bayesiano
0.40131152525	0.146034264223	451	10.000	0.73	Pedigrí 1.1	Bayesiano
0.44099765858	0.157922319209	0	100.000	0.74	Pedigrí 1.1	Bayesiano
0.4490771035	0.15285917186	148	100.000	0.75	Pedigrí 1.1	Bayesiano
0.4244605167	0.140765219225	298	100.000	0.75	Pedigrí 1.1	Bayesiano
0.40234301345	0.137866393376	451	100.000	0.74	Pedigrí 1.1	Bayesiano
0.41478387453	0.190244341113	0	1.000	0.69	Pedigrí 1.2	Bayesiano
0.44799650615	0.176472354525	148	1.000	0.72	Pedigrí 1.2	Bayesiano
0.47032904103	0.151928864694	298	1.000	0.76	Pedigrí 1.2	Bayesiano
0.35250802813	0.22764778314	451	1.000	0.61	Pedigrí 1.2	Bayesiano
0.41167020869	0.191123925595	0	10.000	0.68	Pedigrí 1.2	Bayesiano
0.4245167129	0.185505498421	148	10.000	0.7	Pedigrí 1.2	Bayesiano
0.43147833237	0.150541606949	298	10.000	0.74	Pedigrí 1.2	Bayesiano
0.40249712892	0.145441792345	451	10.000	0.73	Pedigrí 1.2	Bayesiano
0.41123649828	0.192196134019	0	100.000	0.68	Pedigrí 1.2	Bayesiano
0.4264679853	0.182874869292	148	100.000	0.7	Pedigrí 1.2	Bayesiano
0.42837731999	0.151928062839	298	100.000	0.74	Pedigrí 1.2	Bayesiano
0.40141621355	0.138055280455	451	100.000	0.74	Pedigrí 1.2	Bayesiano
0.42596406931	0.161779694397	0	1.000	0.72	Pedigrí 1.3	Bayesiano
0.4551595696	0.150211198039	148	1.000	0.75	Pedigrí 1.3	Bayesiano
0.46214808646	0.150696469993	298	1.000	0.75	Pedigrí 1.3	Bayesiano
0.35165112662	0.22786074958	451	1.000	0.61	Pedigrí 1.3	Bayesiano
0.42720043274	0.160804892187	0	10.000	0.73	Pedigrí 1.3	Bayesiano
0.4421753876	0.154816266929	148	10.000	0.74	Pedigrí 1.3	Bayesiano
0.42374594679	0.149358992771	298	10.000	0.74	Pedigrí 1.3	Bayesiano
0.4010772709	0.146148943077	451	10.000	0.73	Pedigrí 1.3	Bayesiano
0.42433026488	0.161966574755	0	100.000	0.72	Pedigrí 1.3	Bayesiano
0.4445044806	0.151580566099	148	100.000	0.75	Pedigrí 1.3	Bayesiano
0.41921771583	0.153470433285	298	100.000	0.73	Pedigrí 1.3	Bayesiano
0.40140900657	0.138015588687	451	100.000	0.74	Pedigrí 1.3	Bayesiano
0.43197557115	0.152228935514	0	1.000	0.74	Pedigrí 1.4	Bayesiano
0.46353269603	0.145987289416	148	1.000	0.76	Pedigrí 1.4	Bayesiano
0.45294535747	0.150776655561	298	1.000	0.75	Pedigrí 1.4	Bayesiano
0.34988367544	0.22885521213	451	1.000	0.6	Pedigrí 1.4	Bayesiano
0.43048144207	0.154317498085	0	10.000	0.74	Pedigrí 1.4	Bayesiano
0.4375351253	0.158080963557	148	10.000	0.73	Pedigrí 1.4	Bayesiano
0.42582694938	0.141513139911	298	10.000	0.75	Pedigrí 1.4	Bayesiano
0.40108175919	0.146672580787	451	10.000	0.73	Pedigrí 1.4	Bayesiano
0.42993328907	0.154235466456	0	100.000	0.74	Pedigrí 1.4	Bayesiano
0.44334591646	0.152293285262	148	100.000	0.74	Pedigrí 1.4	Bayesiano
0.42317909742	0.142373467142	298	100.000	0.75	Pedigrí 1.4	Bayesiano
0.40176872023	0.138005909909	451	100.000	0.74	Pedigrí 1.4	Bayesiano
0.42309839854	0.176982027837	0	1.000	0.71	Pedigrí 1.5	Bayesiano
0.45545880145	0.158691651564	148	1.000	0.74	Pedigrí 1.5	Bayesiano
0.44526969397	0.165495172133	298	1.000	0.73	Pedigrí 1.5	Bayesiano
0.35006857289	0.22838556714	451	1.000	0.61	Pedigrí 1.5	Bayesiano
0.42233283882	0.17792698177	0	10.000	0.7	Pedigrí 1.5	Bayesiano
0.4390383493	0.16514144607	148	10.000	0.73	Pedigrí 1.5	Bayesiano
0.4158970066	0.161355079451	298	10.000	0.72	Pedigrí 1.5	Bayesiano
0.40229444278	0.145604240988	451	10.000	0.73	Pedigrí 1.5	Bayesiano
0.42104029904	0.179252293357	0	100.000	0.7	Pedigrí 1.5	Bayesiano
0.43925763707	0.164295637893	148	100.000	0.73	Pedigrí 1.5	Bayesiano
0.41519520446	0.161775667041	298	100.000	0.72	Pedigrí 1.5	Bayesiano
0.40027847801	0.139874407257	451	100.000	0.74	Pedigrí 1.5	Bayesiano
0.44989111334	0.167325110142	0	1.000	0.73	Pedigrí 1.6	Bayesiano
0.46813237779	0.154994943216	148	1.000	0.75	Pedigrí 1.6	Bayesiano
0.46777850526	0.146516739759	298	1.000	0.76	Pedigrí 1.6	Bayesiano
0.3520343903	0.22724732749	451	1.000	0.61	Pedigrí 1.6	Bayesiano
