Densidad	Genotipados	des	Correlación	Enfoque
0	0	0.059	0.495	Bayesiano
1.000	148	0.051	0.484	Bayesiano
1.000	298	0.036	0.439	Bayesiano
1.000	451	0.002	0.49	Bayesiano
10.000	148	0.055	0.491	Bayesiano
10.000	298	0.031	0.524	Bayesiano
10.000	451	0.005	0.583	Bayesiano
100.000	148	0.055	0.494	Bayesiano
100.000	298	0.033	0.538	Bayesiano
100.000	451	0.002	0.578	Bayesiano
0	0	0.054	0.509	Penalizado
1.000	148	0.058	0.48	Penalizado
1.000	298	0.036	0.441	Penalizado
1.000	451	0	0.495	Penalizado
10.000	148	0.057	0.488	Penalizado
10.000	298	0.031	0.525	Penalizado
10.000	451	0	0.585	Penalizado
100.000	148	0.058	0.492	Penalizado
100.000	298	0.031	0.54	Penalizado
100.000	451	0	0.58	Penalizado
