value...1	value...2	value...3	value...4	value...5	value...6	value...7	value...8	value...9	value...10
0.09525323	0.09207991	0.09783254	0.07889255	0.08318809	0.07992094	0.08658411	0.09151369	0.08286065	0.1001824
0.1174667	0.1132581	0.1179712	0.1014524	0.09833466	0.08211775	0.1031719	0.09792655	0.09803718	0.1327588
0.1368159	0.1214269	0.1141501	0.09803316	0.08688935	0.09555488	0.1089654	0.1052975	0.105076	0.1251447
0.1427434	0.1311365	0.1078301	0.1040087	0.100159	0.1165863	0.1108347	0.1211225	0.1188888	0.141766
0.1282792	0.1294966	0.1249715	0.1175852	0.1031153	0.1089526	0.09984927	0.1151789	0.1165184	0.1382209
0.1406807	0.1523937	0.1016132	0.1201945	0.1018092	0.104125	0.09892459	0.1359487	0.13589	0.1395672
0.1318524	0.1621439	0.1065178	0.1158366	0.1128696	0.1053105	0.1071389	0.1383454	0.141562	0.1270402
0.1457619	0.1587305	0.1167525	0.1234281	0.1074448	0.1192612	0.1174151	0.1444216	0.1372338	0.1291005
0.1924457	0.1590453	0.1273925	0.1309239	0.1015731	0.1195555	0.1114533	0.1570054	0.1375069	0.1360445
0.1976728	0.158834	0.1222978	0.1111615	0.09900223	0.122883	0.1113742	0.1636683	0.1317449	0.1217062
0.1991011	0.1518936	0.1247094	0.1066917	0.09803743	0.1398702	0.1206587	0.1416696	0.1336296	0.1220268
0.2074683	0.1405296	0.1138185	0.09827828	0.08565682	0.1565134	0.09754647	0.1655702	0.1232886	0.1314157
0.1919469	0.1405642	0.1118256	0.08607145	0.0890793	0.1416403	0.08579703	0.1828321	0.111042	0.1232017
0.2082022	0.1425345	0.1129204	0.09056234	0.08094945	0.1318921	0.07303819	0.1804345	0.1279438	0.121566
0.1934201	0.1418333	0.1045421	0.07615854	0.08322437	0.1337175	0.06532453	0.1844657	0.1428583	0.1247652
0.1873111	0.1116645	0.1050595	0.08113742	0.0860069	0.1189626	0.06255712	0.1682201	0.1305653	0.1268165
0.179816	0.1136206	0.1099908	0.07723347	0.08246784	0.1205908	0.06727245	0.1920578	0.1227332	0.1369077
0.1985412	0.1225551	0.118309	0.07357227	0.09936013	0.1120339	0.063863229999999993	0.1744991	0.1077439	0.1330873
0.2098241	0.1190583	0.1193426	0.06873017	0.1104704	0.1026082	0.07044127	0.1610233	0.1013746	0.1184276
0.2287498	0.1127246	0.1005987	0.07438906	0.09046097	0.1000455	0.07928653	0.1543146	0.09821294	0.107092
0.2590177	0.1271061	0.09666865	0.08104339	0.07569844	0.111262	0.06132151	0.1454387	0.08704815	0.112933
0.2395092	0.1256081	0.08935715	0.09075334	0.08349048	0.1239152	0.06301341	0.1300181	0.08288971	0.119919
0.2477615	0.1173126	0.1022017	0.08249755	0.08372125	0.1150875	0.08541216	0.1259021	0.09552406	0.1085253
0.2346123	0.1181384	0.09781305	0.07951587	0.0808606	0.1301964	0.080756240000000007	0.1445029	0.09845125	0.1084222
0.2211166	0.1237973	0.09899529	0.07673367	0.08270279	0.1191958	0.06812586	0.1371172	0.1086813	0.1061411
0.2203652	0.1114757	0.08386158	0.07079516	0.0801856	0.122707	0.08218987	0.1446358	0.103203	0.1044821
0.1999754	0.1044976	0.09276968	0.08038043	0.08027169	0.1266831	0.07778942	0.1263858	0.09977788	0.1068327
0.1948401	0.1067745	0.08734369	0.07853764	0.07935776	0.1220674	0.07338436	0.1381842	0.1140803	0.09799676
0.2090436	0.1032189	0.07851072	0.07045162	0.08452481	0.118732	0.08788328	0.1524514	0.11802700000000001	0.09703452
0.205453	0.1023889	0.07797625	0.07030877	0.08141075	0.12966	0.09561424	0.1654283	0.1141159	0.1046961
0.2308474	0.1056245	0.08178975	0.06794716	0.08739399	0.1496736	0.09855461	0.1503632	0.1106374	0.1094215
0.2118092	0.1000096	0.07522205	0.07080826	0.09670052	0.129896	0.1158085	0.1329564	0.09785873	0.1212229
0.2215323	0.1076532	0.07071099	0.07346885	0.1027862	0.1367937	0.1239515	0.1559746	0.09906505	0.1135222
0.2174873	0.1215801	0.06196103	0.07633256	0.09194247	0.1494278	0.1266166	0.1431146	0.1231381	0.1117072
0.1999629	0.1218259	0.06501949	0.0643664	0.09879626	0.164474	0.1285764	0.1275529	0.1062621	0.1136127
0.190857	0.123835	0.06614123	0.06182978	0.09218982	0.1579091	0.1285558	0.1286161	0.09995854	0.1030468
0.185769	0.1155369	0.06345289	0.06653981	0.09366172	0.1610916	0.1224351	0.1326431	0.09366939	0.09675552
0.1922358	0.09881877	0.06577789	0.0639242	0.1081408	0.1707251	0.1151267	0.1448085	0.09084049	0.08057049
0.2189826	0.1083386	0.07156363	0.06865283	0.108151	0.1623034	0.1083923	0.1393303	0.09411239	0.08280532
0.2316655	0.09971044	0.08050848	0.06268445	0.1113705	0.1633458	0.1170724	0.1225233	0.09562883	0.08299904
0.2354737	0.1039558	0.0809384	0.06288035	0.1230483	0.1406624	0.127668	0.1244776	0.1073872	0.07608448
0.2229027	0.1001928	0.07688135	0.05819846	0.104654	0.1663284	0.1178606	0.1086786	0.117574	0.08967368
0.2210112	0.09612116	0.08064641	0.06037242	0.1115216	0.1719988	0.1261538	0.09527258	0.1083958	0.1053358
0.2079112	0.09781848	0.07209689	0.06270371	0.1089226	0.1688864	0.1282788	0.09792452	0.1227603	0.09867151
0.2050176	0.09546576	0.07082764	0.05978831	0.1147469	0.1788799	0.1298202	0.09026843	0.1299243	0.09413096
0.2173152	0.09389964	0.07675085	0.05545355	0.1125766	0.1470005	0.1311268	0.09983616	0.1223475	0.1087534
0.1925368	0.09133302	0.1028891	0.05160625	0.1255745	0.1574632	0.1210983	0.1033173	0.1181427	0.11685860000000001
0.2121084	0.09129756	0.08902704	0.05898354	0.1310284	0.1580458	0.1214007	0.08889611	0.1038071	0.1211889
0.2166738	0.07124102	0.07857048	0.05264068	0.1302978	0.1617444	0.1163535	0.08758228	0.1024417	0.1251334
0.196122	0.07867739	0.07011008	0.05675897	0.1233924	0.1783038	0.109032	0.1059186	0.1097292	0.128646
0.2042703	0.08177987	0.07559753	0.0563155	0.1070175	0.1855191	0.109143	0.09691391	0.1051639	0.1388875
0.2211055	0.08886984	0.076549	0.05760896	0.1106555	0.1947826	0.1083951	0.09616309	0.09730446	0.1311449
0.2364422	0.07973482	0.07453785	0.05644195	0.1141582	0.1643823	0.1111734	0.09891898	0.1029307	0.1421804
0.2120727	0.07974651	0.07977506	0.05669367	0.1207889	0.1699627	0.1167267	0.1065187	0.1021508	0.1483644
0.2560107	0.09607607	0.07969963	0.05122466	0.1288899	0.1847178	0.09989128	0.1103021	0.1068892	0.1424182
0.2147148	0.090038000000000007	0.07835572	0.05708278	0.1328445	0.177953	0.1098065	0.1060305	0.1033571	0.1300949
0.1807106	0.08707151	0.07349891	0.05300725	0.1330311	0.1675041	0.1066654	0.1106586	0.08110844	0.1372019
0.2034108	0.08586647	0.07874436	0.04998422	0.1398528	0.1557708	0.1329585	0.1103481	0.06583627	0.1449102
0.2467732	0.09750072	0.07060093	0.05816023	0.1418803	0.1908265	0.1371531	0.1019597	0.06072261	0.1499286
0.2248679	0.1003492	0.07230319	0.06264272	0.1292067	0.1851256	0.1211446	0.1310396	0.0580436	0.1667461
0.1933628	0.08618813	0.0684334	0.05836741	0.1375649	0.2089131	0.1217751	0.1232171	0.06450175	0.1804078
0.2045916	0.09879388	0.06704127	0.05483165	0.1270437	0.1939336	0.1368327	0.1193482	0.06567125	0.1709911
0.1898941	0.1125207	0.072333	0.05034257	0.1047928	0.1816268	0.1494717	0.1135863	0.06236434	0.1447089
0.1899816	0.10895730000000001	0.06938818	0.05278168	0.09522062	0.1904978	0.1392098	0.1246901	0.06028216	0.1287643
0.2104799	0.1109841	0.07183686	0.05475629	0.09887916	0.1694867	0.1452082	0.1319254	0.06350881	0.1317871
0.1841053	0.1008222	0.07090713	0.05299634	0.09311922	0.1552875	0.141741	0.1427113	0.06566335	0.134677
0.1685596	0.1002074	0.07138426	0.05349382	0.09245139	0.1606121	0.1375187	0.1447116	0.05568173	0.137671
0.191895	0.1018993	0.07617192	0.04806433	0.08405482	0.1449153	0.1503202	0.1333157	0.04662655	0.1313312
0.2038641	0.1133507	0.07996234	0.05540257	0.08293305	0.1622291	0.1443711	0.1321752	0.05124155	0.1432461
0.1866085	0.1133344	0.08533335	0.04868383	0.07816138	0.1732294	0.1126273	0.1438873	0.04261853	0.1526143
0.1855951	0.1159422	0.07202212	0.04629954	0.07793914	0.1701982	0.1303051	0.12992890000000001	0.03713648	0.1314284
0.2085491	0.1111786	0.07034057	0.04997871	0.07156191	0.1651641	0.1460786	0.1250513	0.04209042	0.1433885
0.2005551	0.1316911	0.06347533	0.04906604	0.07294522	0.1565716	0.1521944	0.1314676	0.04318557	0.1627219
0.2426439	0.1041778	0.06317093	0.05015304	0.07381365	0.1821371	0.1496565	0.117846	0.03977907	0.1590189
0.2239213	0.09855386	0.06151512	0.04822977	0.09281352	0.1652579	0.1532113	0.1137833	0.04146616	0.1403924
0.2288413	0.1032081	0.06168859	0.04665984	0.09754624	0.1744356	0.1429883	0.1057466	0.04144848	0.1350377
0.2213429	0.09387859	0.06229505	0.0581933	0.107273	0.1793162	0.1527523	0.1081459	0.04355192	0.1281636
0.1849291	0.09838983	0.06457022	0.06585612	0.1317663	0.2063263	0.1298986	0.1109976	0.04438739	0.122311
0.2143787	0.1026141	0.06744576	0.06330647	0.1335226	0.2094885	0.1122806	0.09919363	0.04546329	0.1281551
0.1799562	0.1281055	0.07538255	0.0618956	0.1461503	0.2310882	0.1170453	0.1151714	0.04581501	0.1271285
0.154243	0.1306038	0.08316488	0.0781123	0.1395224	0.2087578	0.1077012	0.107994	0.05009032	0.1269272
0.1572105	0.1273495	0.08569589	0.07376063	0.1164936	0.1953538	0.1175863	0.1036902	0.04900842	0.1458976
0.146532	0.1209024	0.08855149	0.07584257	0.1160986	0.1802394	0.1338358	0.1059448	0.04656245	0.1404382
0.1431035	0.1041329	0.08821829	0.08508523	0.1124991	0.1886002	0.1446064	0.1055701	0.04581032	0.1204663
0.1475336	0.1174712	0.08780708	0.0896538	0.1089677	0.1824206	0.1521228	0.1013054	0.04978117	0.1274372
0.1593965	0.1165315	0.08206482	0.09165021	0.1073957	0.182656	0.1557171	0.1059818	0.04990381	0.1297765
0.1640732	0.09933424	0.08009678	0.09537578	0.1011405	0.1865659	0.1458648	0.109079	0.04672924	0.1289224
0.1587035	0.1027599	0.0887646	0.09837493	0.09790359	0.1892114	0.1435043	0.1028422	0.04605123	0.1274698
0.16575	0.1003061	0.09939337	0.1214935	0.09531351	0.182792	0.1371045	0.1212171	0.0388528	0.116741
0.1515209	0.1066705	0.1024612	0.1020103	0.0977758	0.1588789	0.1270966	0.1080672	0.03715338	0.1176153
0.1517736	0.09847184	0.09565365	0.09781207	0.09588884	0.1856269	0.141343	0.1136388	0.03139204	0.1120852
0.1526553	0.1095713	0.1009551	0.0966144	0.08927878	0.207485	0.142621	0.1326319	0.03211955	0.111984
0.1486773	0.09676767	0.1095259	0.09814508	0.09778466	0.1986485	0.1858535	0.1306033	0.03317218	0.1160772
0.1551566	0.1021951	0.1147626	0.09545231	0.09396826	0.1827532	0.213861	0.1204862	0.03751574	0.1165759
0.1654926	0.1119462	0.126873	0.0871929	0.1044359	0.160921	0.2286019	0.1269313	0.03322027	0.1194345
0.1747169	0.1035119	0.1244827	0.09061209	0.1038816	0.1561473	0.2704112	0.1363318	0.0276872	0.1201655
0.1881796	0.1066151	0.1516105	0.09806099	0.1099674	0.1503758	0.2646189	0.1452895	0.02871665	0.1197791
0.1810963	0.1266962	0.1511165	0.09370213	0.1067629	0.1485186	0.2788119	0.1627016	0.02659843	0.1367682
0.1861848	0.1344586	0.158568	0.0955031	0.1132437	0.1489109	0.2756107	0.1561986	0.0249015	0.1249166
0.1769574	0.1461457	0.1500664	0.08884628	0.1109564	0.1408866	0.2679991	0.1404959	0.02484648	0.1184675
0.1753783	0.1498895	0.1565536	0.08388449	0.1156087	0.1577782	0.2393304	0.1366501	0.0261106	0.109574
0.2018948	0.1476256	0.1516877	0.08839563	0.1067788	0.1442575	0.2513517	0.1318295	0.02899527	0.1178064
0.1791418	0.1535586	0.1549263	0.09295558	0.09209389	0.1330815	0.2408359	0.1496942	0.02849891	0.1163303
0.1658672	0.177338	0.1676564	0.09186748	0.09033359	0.1395297	0.2340903	0.1467534	0.03034256	0.1286218
0.1646129	0.1666339	0.1479472	0.09589562	0.09333892	0.151924	0.2334101	0.1630355	0.03205782	0.1382229
0.1554451	0.159878	0.1418736	0.09789169	0.0810855	0.1505775	0.2179954	0.1632436	0.0338086	0.1414288
0.1367123	0.1483329	0.1225157	0.1143587	0.07990036	0.1602704	0.2246259	0.1544058	0.03158219	0.1434447
0.146495	0.1569509	0.1198936	0.1134922	0.0864542	0.1783511	0.2256092	0.150702	0.02939901	0.1423849
0.1714022	0.1742142	0.1343967	0.1245334	0.09847329	0.1800453	0.2085986	0.1398697	0.03387028	0.1337874
0.1716221	0.1711333	0.1375776	0.1303503	0.09809545	0.2255799	0.1725878	0.1435164	0.03542168	0.121975
0.1607922	0.1644368	0.1311058	0.1271366	0.09202003	0.2233414	0.1960916	0.1485082	0.03748242	0.1105718
0.1405878	0.1559847	0.1337464	0.1422664	0.07650303	0.2137382	0.2170127	0.1640315	0.03935122	0.1008976
0.1224872	0.1503198	0.1324569	0.1539543	0.07549379	0.2035848	0.2208635	0.1468399	0.03997919	0.1101899
0.1118074	0.1709575	0.1297922	0.1609486	0.07501446	0.2367264	0.2324403	0.1418706	0.04333531	0.1060251
0.1067285	0.1605243	0.117527	0.1486402	0.07625286	0.2272411	0.2276469	0.1303372	0.04496117	0.1051815
0.09416864	0.1606555	0.1168683	0.131203	0.07958203	0.212543	0.2251351	0.1421946	0.04665586	0.1005143
0.09141438	0.1546323	0.1144853	0.1275155	0.07932949	0.2278325	0.2079657	0.1627023	0.04885515	0.1071405
0.09335999	0.1556066	0.109076	0.1198253	0.07526215	0.2103571	0.1959977	0.1657269	0.06063506	0.09625976
0.1037857	0.1691511	0.1144058	0.1418509	0.07771671	0.221271	0.1942946	0.1536345	0.06941393	0.09413706
0.09865598	0.1534961	0.1078449	0.1207067	0.08940478	0.2157263	0.2036564	0.1265217	0.07202667	0.09385759
0.1028576	0.1352685	0.11538	0.1043308	0.09404137	0.2208205	0.2108233	0.1038256	0.06611915	0.1055059
0.1073586	0.1335833	0.1226467	0.0987785	0.09851651	0.1932977	0.218659	0.1076138	0.07051506	0.1024583
0.1049314	0.128855	0.1144498	0.1112693	0.08999693	0.2287355	0.216281	0.1018686	0.06944314	0.09085572
0.09912531	0.1231235	0.09969995	0.1008363	0.08677363	0.204007	0.2362544	0.1061677	0.0656026	0.08714329
0.08499979	0.1312183	0.1027489	0.09067947	0.08837514	0.1888875	0.2327987	0.1061962	0.05612788	0.09587602
0.09318994	0.1379049	0.0865949	0.09389149	0.08274573	0.1796405	0.2310281	0.1148277	0.05398377	0.1081661
0.0919284	0.1282815	0.07824504	0.08088119	0.08590011	0.1649294	0.2522542	0.1033267	0.05142238	0.1243286
0.08540938	0.1170615	0.07738046	0.09319597	0.08766934	0.1614422	0.2751365	0.09772918	0.04715747	0.1134912
0.09784325	0.1367372	0.07396871	0.0902397	0.08086674	0.1371153	0.2594627	0.1095347	0.04920115	0.09727751
0.1108197	0.1274485	0.07422038	0.08801368	0.09642256	0.1459271	0.2289762	0.110884	0.04662894	0.09286183
0.1110917	0.1215885	0.08550115	0.1080132	0.08276015	0.1655694	0.2071169	0.1128072	0.04528528	0.1011459
0.1076617	0.1364448	0.08644902	0.1071408	0.08988357	0.1469614	0.2103684	0.1064127	0.04391521	0.09779504
0.1131033	0.1438632	0.09327611	0.1108131	0.08616413	0.1386243	0.2329352	0.1237586	0.05150442	0.08470974
0.1219738	0.1419287	0.1070648	0.1007371	0.08033172	0.1358295	0.2310531	0.1275404	0.05158581	0.1003641
0.1183198	0.144048	0.1149217	0.1197279	0.0739161	0.1080526	0.2343209	0.1116958	0.06185871	0.0879646
0.1166552	0.1653503	0.1106111	0.1308181	0.073535	0.1252165	0.218094	0.10584	0.05562611	0.07650889
0.1062461	0.1747759	0.1017812	0.1393977	0.07621196	0.1296443	0.1991901	0.1051977	0.04735962	0.07468112
0.1147161	0.1500474	0.1055831	0.1437621	0.07865214	0.1359814	0.2175502	0.09839039	0.0398795	0.06943637
0.1186416	0.1323071	0.09824756	0.1248682	0.07926744	0.1158193	0.1976559	0.09821664	0.03827104	0.06824962
0.118628	0.1156979	0.08356119	0.1334593	0.07601686	0.1062214	0.1933314	0.08266407	0.03872812	0.07222602
0.1261521	0.100908	0.0766349	0.1130415	0.07466878	0.1011571	0.2005126	0.08136577	0.04004974	0.08057248
0.1266331	0.09108387	0.0803035	0.1029173	0.06768517	0.1005807	0.1749839	0.08902517	0.03837638	0.07569075
0.141753	0.09514437	0.07969207	0.08888788	0.07516661	0.1061014	0.1567606	0.09116112	0.03909137	0.08490752
0.1184569	0.1066577	0.09398626	0.08469057	0.06968708	0.1010202	0.1415215	0.08341329	0.03888307	0.07834958
0.1259588	0.09929612	0.09015601	0.09111787	0.06515962	0.1063441	0.15001	0.07542112	0.04371166	0.08045055
0.1309803	0.09932924	0.09548633	0.08028259	0.07455105	0.1105404	0.1546016	0.08991696	0.03977986	0.07079789
0.1058884	0.09644683	0.1015936	0.06772296	0.07068316	0.113875	0.1407842	0.0989191	0.04481032	0.07148064
0.1001894	0.08223624	0.07668557	0.06405427	0.07571784	0.1197557	0.1410781	0.1044004	0.04334577	0.07799828
0.09204652	0.07600993	0.08729117	0.06665344	0.0795157	0.1116008	0.1427403	0.1115602	0.04270715	0.07727476
0.08209581	0.07558991	0.08261489	0.07348593	0.09577158	0.1238147	0.1537922	0.1063981	0.04251284	0.07740549
0.08191976	0.06907062	0.07798711	0.079659	0.09907133	0.1157306	0.1197035	0.1043305	0.04329747	0.08921913
