value...1	value...2	value...3	value...4	value...5	value...6	value...7	value...8	value...9	value...10
0.3698888	0.3321239	0.3291421	0.3684773	0.3760558	0.4226067	0.3466203	0.3763757	0.4197853	0.3809793
0.4102064	0.3340124	0.3422837	0.4080156	0.3355842	0.3511624	0.4563813	0.3756778	0.4075604	0.3730333
0.3842101	0.314761	0.3524055	0.4128337	0.336521	0.4273754	0.4357747	0.3679505	0.4523627	0.4044125
0.4610666	0.3649938	0.3142321	0.3343325	0.3469144	0.5004083	0.4002449	0.3231809	0.4136214	0.3856817
0.4488274	0.3149896	0.3191031	0.3922451	0.4649401	0.4222652	0.34473	0.4177181	0.3483892	0.3482049
0.4404622	0.3764473	0.3729728	0.3476962	0.456598	0.4365842	0.4609199	0.5047093	0.4239844	0.3625334
0.4279138	0.4620817	0.4000938	0.3228672	0.4422058	0.3933267	0.4150492	0.4546505	0.4649321	0.3702837
0.4955123	0.3876914	0.4258669	0.4011598	0.4212059	0.5143951	0.4366437	0.4856528	0.4571933	0.3298711
0.4257274	0.3082915	0.3599397	0.4287213	0.4263067	0.4932284	0.4045702	0.4403102	0.4276905	0.3496008
0.42608	0.3054056	0.3706856	0.4770291	0.336964	0.4364083	0.3338164	0.4871338	0.3412466	0.356871
0.4162433	0.3644438	0.3436631	0.4620507	0.3660341	0.5646619	0.3931718	0.5033379	0.3804055	0.3540022
0.4603634	0.3963823	0.3816958	0.4114414	0.2935668	0.5535883	0.3499344	0.4746136	0.4117689	0.3581056
0.421828	0.366788	0.3162411	0.4737278	0.3693798	0.6758079	0.392826	0.4928652	0.3905469	0.3757999
0.4507296	0.3449311	0.3616197	0.452714	0.3989891	0.4838496	0.3935198	0.5507602	0.4699511	0.3705784
0.4151134	0.287456	0.4006443	0.4189659	0.3578323	0.5403203	0.3879237	0.4828471	0.383979	0.3868661
0.5101751	0.3043939	0.4737527	0.421298	0.3405919	0.5103573	0.421589	0.337899	0.3705621	0.3045751
0.4674503	0.3314478	0.436728	0.3756546	0.4133857	0.5621551	0.3878334	0.3796063	0.3133512	0.3311321
0.4407536	0.3156721	0.417038	0.4836813	0.523386	0.3995617	0.376949	0.417926	0.444749	0.3107658
0.3915961	0.2487017	0.467051	0.4364795	0.4697565	0.4213299	0.3761248	0.4532247	0.5204203	0.373924
0.47841089999999997	0.2937462	0.4161462	0.4092005	0.4404354	0.4110092	0.3775006	0.4514369	0.4345433	0.3870712
0.525209	0.3063958	0.4136986	0.3553282	0.4421451	0.4126265	0.4089331	0.4730038	0.4084506	0.3950367
0.4806454	0.3564813	0.3867739	0.3674697	0.3621567	0.3313135	0.4290376	0.3652505	0.4214932	0.4338807
0.5564127	0.4331016	0.4018257	0.4015855	0.3543144	0.3682241	0.4357338	0.337876	0.4373818	0.4284142
0.4398224	0.3932406	0.4177366	0.3854323	0.3455831	0.2743049	0.46141	0.2950606	0.4583317	0.3866108
0.4732727	0.4009082	0.457891	0.3388338	0.4259354	0.3024518	0.4804616	0.3219053	0.4781854	0.3657869
0.5861998	0.4593312	0.3650548	0.4217444	0.3977139	0.3475906	0.505051	0.3645066	0.3827943	0.4171636
0.5437346	0.4857394	0.4087512	0.4449335	0.4432372	0.3494804	0.439059	0.3522574	0.3630524	0.3859494
0.5202605	0.4535407	0.3998483	0.3837797	0.4993843	0.3449318	0.4461448	0.3572948	0.331824	0.3484392
0.5423127	0.4718312	0.357705	0.3697613	0.4833167	0.3920121	0.4959851	0.3901023	0.3200669	0.3917887
0.5232236	0.3951645	0.4347231	0.3895402	0.4504588	0.4014364	0.4057951	0.4904599	0.3147547	0.4308141
0.5646901	0.3506863	0.4782685	0.38062820000000003	0.4251404	0.3805194	0.408787	0.4576948	0.3869661	0.44128270000000003
0.4409934	0.3980581	0.3977027	0.4254014	0.5026358	0.4325558	0.4560318	0.3779426	0.3754577	0.4846542
0.4759518	0.3923509	0.3895193	0.3648405	0.405907	0.4347095	0.4619261	0.4391837	0.3313828	0.490915
0.4303205	0.4118991	0.4064179	0.363436	0.4328829	0.3576523	0.5640882	0.4814485	0.3442289	0.432158
0.517859	0.3803981	0.347366	0.4064625	0.4317457	0.3528955	0.5269813	0.4910053	0.3269228	0.4682154
0.4315239	0.3572198	0.3563839	0.4486418	0.4912308	0.373895	0.4419701	0.3702064	0.3119249	0.4096456
0.4642499	0.3551715	0.4416911	0.3540132	0.4947029	0.4208444	0.426934	0.3616746	0.3630253	0.4355931
0.4664243	0.295157	0.4537925	0.4125966	0.4888792	0.4481654	0.4298735	0.342752	0.3958555	0.4353135
0.4405686	0.3265448	0.470251	0.3856251	0.4406836	0.410541	0.4078328	0.3525753	0.3426374	0.4221125
0.5828549	0.294235	0.4646614	0.5027216	0.4673132	0.4429091	0.395446	0.3401308	0.3230086	0.4957707
0.4727016	0.2964484	0.4166851	0.5130876	0.4385895	0.4587087	0.3941178	0.2900241	0.3810281	0.4746198
0.4407586	0.3581046	0.4455363	0.5390145	0.4263836	0.456099	0.3736378	0.3461844	0.3197477	0.3767312
0.4887087	0.2961056	0.4421954	0.4730601	0.4617478	0.476055	0.3779786	0.31202	0.398086	0.4431859
0.4419044	0.4040072	0.528208	0.5121312	0.4404559	0.4799598	0.3435865	0.3379554	0.397223	0.4381757
0.4320696	0.4193415	0.4335678	0.5124918	0.4469659	0.4799517	0.3563501	0.2931654	0.3502357	0.4398798
0.3996356	0.3903363	0.4566193	0.567065	0.5124054	0.4640341	0.4422223	0.3700704	0.3149178	0.4569363
0.492961	0.4511086	0.4988482	0.6254164	0.4262048	0.4263089	0.4895115	0.4235512	0.3634183	0.5113014
0.4123773	0.4949717	0.432537	0.4776349	0.4296083	0.4196568	0.4557955	0.360814	0.4138811	0.4400492
0.3823821	0.5041588	0.512012	0.3736988	0.447335	0.4032855	0.3957412	0.4313839	0.455863	0.4755798
0.3666689	0.3950285	0.5349003	0.3542884	0.5140154	0.5091359	0.4573062	0.3728619	0.3521505	0.4711253
0.3674274	0.4110596	0.5675126	0.3888723	0.5003734	0.4928517	0.4292922	0.3863669	0.3624147	0.4320307
0.4068499	0.4350414	0.5221137	0.4389951	0.4622904	0.4323947	0.4766743	0.3895038	0.3647783	0.4407091
0.5150856	0.405439	0.610391	0.4921123	0.493495	0.3910739	0.5129151	0.4460678	0.3572736	0.4596188
0.4572703	0.3944399	0.5022364	0.5905523	0.5069462	0.4427118	0.5504652	0.3827342	0.4189544	0.4369205
0.4769666	0.4172193	0.4945444	0.4639318	0.5032616	0.4900586	0.4894611	0.3692339	0.3997099	0.4242645
0.4457534	0.3821571	0.5351359	0.4725747	0.5345436	0.5320812	0.4125443	0.4070165	0.3662316	0.4045412
0.5110646	0.3399165	0.4600378	0.4303271	0.564911	0.4925553	0.5040426	0.3781566	0.4265376	0.4236011
0.4388042	0.3309326	0.5008356	0.5128573	0.5637186	0.483782	0.429412	0.4436126	0.3922196	0.3596532
0.3536623	0.3829409	0.4678795	0.4399189	0.4845616	0.428596	0.4685525	0.4203503	0.3882519	0.3869674
0.3991159	0.3461984	0.4358921	0.371567	0.4444595	0.428518	0.4027176	0.3809726	0.3933821	0.3704318
0.4175773	0.4173683	0.4101061	0.3928753	0.4248914	0.4412283	0.3990841	0.3552856	0.3587442	0.4305709
0.2925328	0.4244627	0.4425743	0.4256704	0.4497813	0.4439183	0.3837186	0.46575	0.3913236	0.4019447
0.3224055	0.4068064	0.412688	0.4673102	0.2993376	0.4356828	0.3917763	0.4324115	0.2750974	0.3717473
0.3936367	0.3960557	0.3802992	0.3580073	0.2773563	0.4123523	0.3665862	0.4636395	0.2922186	0.4106077
0.452964	0.4837865	0.4988274	0.2754829	0.3337471	0.4718157	0.3764609	0.4207909	0.2451306	0.410858
0.4195484	0.5091999	0.4845246	0.3013236	0.3165226	0.472338	0.3602014	0.3899563	0.2521729	0.38088
0.4360182	0.517723	0.535085	0.3541766	0.3139867	0.6230785	0.2784181	0.4755413	0.2694883	0.4242706
0.3754263	0.5082314	0.477942	0.3708364	0.3747439	0.5510772	0.2761939	0.4309643	0.3478639	0.3838854
0.3960215	0.5128689	0.4798439	0.4016931	0.3309177	0.5829598	0.2520687	0.5647801	0.3989554	0.4320177
0.3932903	0.540079	0.5081179	0.4275531	0.3233536	0.5525293	0.2866251	0.5421624	0.3528672	0.4572035
0.4184274	0.4652806	0.3746801	0.4091993	0.3473142	0.4107719	0.3210006	0.4738833	0.3534702	0.4528037
0.454137	0.448864	0.3683368	0.4359258	0.4068376	0.4937514	0.2889395	0.4166348	0.4606378	0.4143379
0.4732446	0.5778977	0.4272345	0.4713956	0.4043922	0.518806	0.2876297	0.4222874	0.3912227	0.464709
0.4502587	0.5553934	0.366354	0.5081871	0.3038585	0.4696112	0.3175921	0.4756271	0.4198367	0.452311
0.4260135	0.5311122	0.3272455	0.4967092	0.2955436	0.5309828	0.3355039	0.4372648	0.2797183	0.4302679
0.3839241	0.4769489	0.3566584	0.4365558	0.3753086	0.4745793	0.3584721	0.469115	0.3642893	0.4486566
0.3496024	0.4127446	0.3556055	0.3774864	0.35791	0.4489874	0.3673166	0.3697039	0.3944297	0.4961613
0.3151873	0.376272	0.3104706	0.4193326	0.3509691	0.5047536	0.3377272	0.3313345	0.4074362	0.4539864
0.4019818	0.4358743	0.3715868	0.4142364	0.4034852	0.4695074	0.3427644	0.3595047	0.3036862	0.5257924
0.3496807	0.401495	0.382069	0.3751008	0.3183701	0.5736742	0.3757249	0.4302078	0.3446899	0.4921196
0.4099807	0.4340853	0.3550049	0.4201434	0.3912797	0.5584683	0.4169126	0.3873887	0.3472385	0.4517158
0.4298276	0.4291071	0.3699725	0.3795867	0.3974268	0.5156368	0.3936377	0.3869434	0.3861129	0.4986803
0.4223803	0.4251878	0.3709522	0.4032939	0.3997736	0.5360715	0.4236019	0.4814397	0.3551108	0.5536113
0.3554933	0.384184	0.4101365	0.4296917	0.2737218	0.5248105	0.4587962	0.4306797	0.3674888	0.6094655
0.4248983	0.4021625	0.4708184	0.4597216	0.3153246	0.4496286	0.412394	0.5040957	0.3589681	0.5808626
0.3724987	0.3815985	0.4618521	0.4435945	0.3628877	0.5050685	0.418281	0.3940425	0.4182653	0.5421412
0.2982489	0.4181005	0.4366833	0.3902472	0.314456	0.4388505	0.3562724	0.432118	0.4336987	0.5210078
0.3403276	0.4257454	0.396036	0.4052918	0.3852307	0.4312676	0.3649666	0.4291341	0.35567	0.4682523
0.3419171	0.4455718	0.395669	0.4292544	0.3620807	0.4212766	0.4625857	0.4373134	0.4247174	0.4529898
0.3693787	0.4568226	0.3713199	0.4186332	0.4059004	0.3936427	0.4322683	0.4373339	0.3905949	0.4537431
0.3438301	0.4203356	0.4514883	0.4037709	0.4372921	0.5301143	0.5192598	0.4285298	0.4304169	0.404471
0.3592599	0.4234514	0.4336719	0.5460796	0.4099147	0.4972824	0.4841427	0.3737161	0.3845395	0.4273299
0.4330794	0.3618874	0.5001087	0.4722596	0.4392137	0.4650269	0.4676161	0.4444611	0.316651	0.3952221
0.3979038	0.38059	0.4547911	0.360262	0.3644097	0.5064502	0.4920313	0.4177457	0.3735676	0.4306307
0.3519053	0.4328205	0.4508302	0.3904353	0.4047627	0.4878842	0.4576748	0.3830557	0.3809034	0.4707502
0.3409015	0.414766	0.4909513	0.4226815	0.487503	0.4072231	0.4667795	0.4306758	0.4200019	0.4488875
0.3681364	0.4641709	0.49922	0.3717365	0.3984341	0.4025187	0.432046	0.4532766	0.375714	0.4246176
0.3821242	0.4553019	0.4606066	0.4664229	0.3800766	0.3713056	0.493483	0.4557305	0.3549142	0.4165382
0.3897683	0.3128939	0.5176321	0.4081129	0.3361066	0.3591063	0.4708209	0.4263106	0.3618724	0.4860341
0.4995797	0.4920179	0.5721751	0.366513	0.3487889	0.3394947	0.4879611	0.4343607	0.3561094	0.4551932
0.45965	0.4303249	0.5295665	0.4151602	0.3219265	0.4489206	0.4144543	0.3967849	0.3900978	0.4622142
0.4552052	0.4526762	0.4607293	0.4062235	0.3229255	0.4708326	0.4798746	0.5302742	0.4688806	0.4417325
0.3555749	0.4482249	0.438985	0.4619274	0.3775676	0.4517734	0.5515121	0.4808574	0.4246767	0.4150322
0.3664158	0.3552002	0.3970315	0.3550067	0.3500169	0.4799768	0.4750744	0.428577	0.4276884	0.4335667
0.4378218	0.3625117	0.4738558	0.3463124	0.3813075	0.502931	0.52689	0.3519588	0.3442663	0.4590427
